order_item_id,order_id,product_id,cantidad,precio_unitario
1,1,24,1,506.72
2,1,12,1,330.04
3,1,4,1,728.53
4,1,6,3,1137.91
5,2,38,3,591.07
6,2,17,2,409.95
7,2,21,2,765.19
8,2,6,1,1100.31
9,2,31,2,1059.21
10,3,18,3,1002.72
11,3,12,1,523.0
12,3,30,2,672.65
13,3,4,3,677.07
14,4,29,2,360.57
15,4,40,2,511.23
16,5,41,2,795.64
17,6,13,1,532.58
18,6,29,1,300.89
19,6,28,3,894.19
20,7,38,1,672.07
21,8,42,3,884.87
22,8,12,1,378.01
23,9,46,1,1160.27
24,9,16,1,874.53
25,9,19,2,1266.61
26,9,6,1,1008.29
27,10,24,3,419.38
28,10,7,1,846.87
29,10,22,1,919.03
30,11,45,1,192.23
31,12,8,3,465.04
32,12,14,2,312.74
33,12,26,3,853.95
34,12,5,3,1160.63
35,12,29,1,213.33
36,13,15,1,1226.03
37,14,13,3,548.64
38,15,34,3,1009.14
39,15,27,1,183.39
40,16,40,2,566.45
41,16,32,1,142.84
42,17,44,3,276.91
43,18,42,3,634.47
44,18,40,1,598.6
45,19,31,1,958.82
46,19,21,2,1070.33
47,19,34,3,1101.13
48,20,4,2,620.58
49,20,6,2,771.13
50,20,12,1,371.27
51,20,11,3,1037.77
52,20,29,2,283.07
53,21,25,1,495.75
54,21,40,2,615.0
55,22,15,1,936.87
56,23,23,1,721.9
57,24,40,1,429.0
58,25,40,1,563.35
59,25,28,2,560.85
60,26,12,2,485.97
61,26,22,1,1206.31
62,26,24,2,403.27
63,26,39,3,669.54
64,27,16,1,966.35
65,28,26,1,605.88
66,28,33,3,708.53
67,28,30,2,451.98
68,28,40,3,451.73
69,29,5,3,1249.63
70,29,46,2,940.27
71,30,19,2,1122.95
72,30,11,1,968.6
73,30,33,1,661.89
74,31,29,2,313.42
75,31,11,1,950.77
76,31,46,2,1054.83
77,32,31,3,966.46
78,33,42,2,846.86
79,33,17,1,295.24
80,33,46,2,713.27
81,33,19,1,1168.9
82,34,6,3,756.39
83,34,38,3,667.35
84,34,8,2,650.51
85,35,44,2,199.57
86,36,24,2,367.45
87,36,9,1,386.32
88,37,39,2,617.45
89,38,35,3,409.03
90,38,37,2,125.16
91,38,23,1,911.21
92,39,36,1,137.41
93,39,45,1,217.31
94,39,13,2,518.03
95,39,34,2,1164.83
96,39,30,1,421.16
97,40,22,3,1349.62
98,40,45,3,213.78
99,40,7,1,921.67
100,40,33,3,716.71
101,40,8,1,704.32
102,41,48,3,551.66
103,42,44,2,206.9
104,42,6,2,703.77
105,42,30,1,421.22
106,43,6,2,968.26
107,44,47,1,97.18
108,44,1,2,211.88
109,44,20,3,610.78
110,44,4,3,866.58
111,45,14,2,452.56
112,45,42,2,531.38
113,45,43,3,1259.44
114,45,19,3,1430.8
115,46,29,1,316.62
116,46,40,2,732.15
117,47,47,1,122.56
118,47,27,1,280.47
119,47,6,2,1048.48
120,47,48,3,475.77
121,48,48,1,646.86
122,48,12,2,485.15
123,48,15,1,707.61
124,49,45,1,138.54
125,50,19,3,1064.75
126,50,13,1,319.27
127,50,21,3,1194.54
128,50,15,3,675.0
129,50,30,3,627.57
130,51,6,3,874.21
131,51,19,1,1366.05
132,51,25,2,477.22
133,51,14,2,411.92
134,51,24,3,508.19
135,52,47,1,86.25
136,52,38,2,733.14
137,52,23,1,1087.97
138,52,9,1,678.91
139,53,36,3,141.45
140,53,8,1,532.68
141,54,4,1,711.16
142,54,46,3,804.02
143,55,42,2,887.18
144,55,23,1,912.18
145,55,16,1,1013.53
146,55,17,1,464.5
147,55,4,3,598.1
148,56,13,3,321.0
149,56,16,2,779.13
150,56,37,1,115.3
151,57,13,3,339.35
152,57,39,3,457.86
153,57,44,1,198.25
154,58,46,2,1020.55
155,58,19,2,782.26
